,site,status
542,CA,returned
543,CA,unreturned
544,TX,unreturned
545,CA,returned
546,CA,unreturned
547,CA,returned
548,CA,unreturned
549,TX,returned
550,TX,returned
551,CA,unreturned
552,CA,unreturned
553,AZ,returned
554,CA,unreturned
555,CA,unreturned
556,AZ,returned
557,CA,returned
558,TX,returned
559,OR,unreturned
560,CA,returned
561,AZ,returned
562,CA,returned
563,CA,returned
564,AZ,returned
565,CA,returned
566,TX,returned
567,CA,unreturned
568,TX,unreturned
569,CA,returned
570,CA,unreturned
571,TX,returned
572,TX,returned
573,AZ,unreturned
574,CA,returned
575,CA,returned
576,CA,unreturned
577,CA,returned
578,CA,unreturned
579,CA,unreturned
580,CA,unreturned
581,CA,returned
582,TX,returned
583,AZ,unreturned
584,CA,unreturned
585,OR,unreturned
586,AZ,returned
587,AZ,returned
588,TX,returned
589,CA,returned
590,CA,returned
591,CA,returned
592,CA,returned
593,TX,returned
594,CA,returned
595,CA,returned
596,CA,returned
597,CA,returned
598,CA,returned
599,CA,returned
600,CA,unreturned
601,CA,returned
602,CA,unreturned
603,TX,unreturned
604,AZ,returned
605,CA,returned
606,AZ,returned
607,AZ,returned
608,TX,returned
609,TX,unreturned
610,TX,returned
611,CA,returned
612,CA,returned
613,AZ,unreturned
614,AZ,unreturned
615,TX,returned
616,OR,returned
617,CA,unreturned
618,CA,unreturned
619,AZ,returned
620,CA,unreturned
621,CA,returned
622,CA,unreturned
623,CA,returned
624,AZ,returned
625,TX,unreturned
626,CA,unreturned
627,CA,unreturned
628,CA,returned
629,AZ,returned
630,TX,unreturned
631,CA,returned
632,AZ,unreturned
633,CA,returned
634,AZ,returned
635,CA,unreturned
636,CA,returned
637,CA,unreturned
638,TX,unreturned
639,TX,returned
640,CA,returned
641,CA,returned
642,CA,returned
643,AZ,unreturned
644,CA,returned
645,CA,returned
646,CA,returned
647,CA,returned
648,CA,unreturned
649,CA,returned
650,CA,returned
651,AZ,unreturned
652,CA,returned
653,CA,returned
654,CA,returned
655,CA,returned
656,CA,returned
657,CA,returned
658,CA,unreturned
659,CA,returned
660,TX,returned
661,OR,returned
662,CA,returned
663,AZ,returned
664,AZ,unreturned
665,CA,returned
666,CA,returned
667,CA,returned
668,CA,returned
669,CA,unreturned
670,CA,returned
671,TX,returned
672,AZ,unreturned
673,CA,unreturned
674,CA,returned
675,CA,returned
676,CA,unreturned
677,CA,returned
678,AZ,returned
679,CA,returned
680,CA,returned
681,AZ,returned
682,CA,returned
683,CA,unreturned
684,CA,returned
685,CA,returned
686,CA,unreturned
687,TX,returned
688,OR,returned
689,OR,returned
690,OR,returned
691,TX,unreturned
692,CA,returned
693,CA,unreturned
694,TX,unreturned
695,TX,unreturned
696,CA,returned
697,CA,returned
698,CA,returned
699,CA,returned
700,CA,unreturned
701,AZ,returned
702,CA,unreturned
703,CA,unreturned
704,CA,returned
705,AZ,returned
706,CA,unreturned
707,CA,returned
708,CA,returned
709,CA,returned
710,CA,returned
711,TX,returned
712,CA,unreturned
713,CA,returned
714,CA,returned
715,CA,returned
716,CA,returned
717,AZ,returned
718,AZ,returned
719,AZ,unreturned
720,CA,unreturned
721,AZ,returned
722,AZ,returned
723,CA,returned
724,CA,returned
725,CA,unreturned
726,AZ,unreturned
727,CA,returned
728,CA,returned
729,CA,unreturned
730,CA,returned
731,CA,unreturned
732,CA,unreturned
733,CA,unreturned
734,CA,unreturned
735,TX,unreturned
736,AZ,returned
737,TX,returned
738,CA,unreturned
739,OR,returned
740,CA,unreturned
741,CA,returned
742,CA,returned
743,CA,returned
744,AZ,unreturned
745,AZ,returned
746,AZ,returned
747,CA,returned
748,CA,returned
749,CA,returned
750,CA,unreturned
751,AZ,returned
752,TX,unreturned
753,CA,returned
754,CA,returned
755,CA,returned
756,AZ,unreturned
757,CA,returned
758,CA,returned
759,AZ,unreturned
760,AZ,unreturned
761,CA,returned
762,TX,returned
763,CA,unreturned
764,CA,returned
765,CA,returned
766,CA,returned
767,CA,returned
768,CA,returned
769,CA,returned
770,CA,returned
771,CA,returned
772,CA,unreturned
773,CA,returned
774,OR,returned
775,TX,returned
776,CA,returned
777,OR,returned
778,CA,returned
779,CA,returned
780,CA,unreturned
781,OR,unreturned
782,CA,returned
783,CA,returned
784,CA,unreturned
785,CA,returned
786,OR,unreturned
787,CA,returned
788,CA,returned
789,CA,returned
790,CA,returned
791,OR,unreturned
792,CA,unreturned
793,CA,returned
794,CA,unreturned
795,CA,unreturned
796,CA,unreturned
797,CA,unreturned
798,AZ,returned
799,AZ,returned
800,AZ,returned
801,AZ,unreturned
802,AZ,returned
803,CA,returned
804,CA,returned
805,CA,unreturned
806,AZ,returned
807,CA,unreturned
808,OR,returned
809,TX,returned
810,AZ,unreturned
811,AZ,returned
812,CA,unreturned
813,CA,unreturned
814,OR,returned
815,CA,unreturned
816,TX,unreturned
817,TX,unreturned
818,CA,returned
819,TX,returned
820,CA,returned
821,CA,unreturned
822,AZ,returned
823,CA,returned
824,CA,unreturned
825,CA,returned
826,OR,unreturned
827,CA,returned
828,CA,returned
829,CA,returned
830,OR,returned
831,CA,returned
832,CA,unreturned
833,AZ,returned
834,CA,unreturned
835,TX,returned
836,CA,unreturned
837,AZ,returned
838,CA,returned
839,CA,unreturned
840,CA,returned
841,TX,returned
842,CA,returned
843,CA,returned
844,CA,unreturned
845,CA,unreturned
846,TX,returned
847,AZ,unreturned
848,AZ,returned
849,CA,returned
850,TX,returned
851,CA,unreturned
852,AZ,returned
853,CA,returned
854,TX,returned
855,TX,unreturned
856,AZ,unreturned
857,CA,returned
858,CA,returned
859,CA,returned
860,CA,returned
861,TX,unreturned
862,CA,returned
863,CA,returned
864,AZ,unreturned
865,CA,unreturned
866,AZ,returned
867,AZ,returned
868,CA,unreturned
869,AZ,returned
870,AZ,unreturned
871,AZ,unreturned
872,CA,returned
873,TX,returned
874,OR,returned
875,AZ,returned
876,CA,returned
877,CA,returned
878,CA,returned
879,AZ,returned
880,CA,unreturned
881,CA,returned
882,AZ,returned
883,CA,returned
884,CA,returned
885,CA,returned
886,CA,returned
887,CA,returned
888,OR,returned
889,AZ,returned
890,AZ,returned
891,CA,returned
892,TX,unreturned
893,TX,returned
894,AZ,returned
895,AZ,unreturned
896,CA,unreturned
897,AZ,returned
898,TX,returned
899,AZ,returned
900,OR,returned
901,CA,returned
902,CA,returned
903,CA,returned
904,AZ,returned
905,CA,unreturned
906,CA,returned
907,TX,unreturned
908,AZ,unreturned
909,CA,returned
910,AZ,returned
911,TX,unreturned
912,CA,returned
913,CA,returned
914,CA,returned
915,CA,unreturned
916,OR,returned
917,CA,unreturned
918,CA,unreturned
919,TX,returned
920,CA,returned
921,CA,returned
922,CA,unreturned
923,CA,unreturned
924,TX,unreturned
925,CA,returned
926,TX,unreturned
927,CA,returned
928,CA,returned
929,CA,returned
930,TX,unreturned
931,CA,unreturned
932,CA,unreturned
933,AZ,returned
934,TX,returned
935,CA,returned
936,AZ,returned
937,CA,returned
938,CA,returned
939,AZ,unreturned
940,CA,returned
941,CA,returned
942,TX,returned
943,TX,returned
944,AZ,unreturned
945,AZ,returned
946,CA,returned
947,AZ,returned
948,AZ,returned
949,CA,returned
950,CA,returned
951,CA,unreturned
952,CA,returned
953,TX,returned
954,TX,returned
955,CA,returned
956,CA,returned
957,TX,unreturned
958,TX,unreturned
959,OR,unreturned
960,CA,unreturned
961,AZ,returned
962,AZ,returned
963,CA,returned
964,AZ,returned
965,CA,unreturned
966,CA,returned
